id,nombre,categoria,fecha_creacion,tipo_transmision,vectores_ataque,IOC(Indicadores de compromiso),IF(impacto financiero),Perdida_datos,plataforma,region,autor,funcion,objetivo,uso_cpu,duracion,ruta,nivel
1,Mirai,Malware,23-11-2023,Infección en dispositivos IoT,Vulnerabilidades en dispositivos loT y Exploits conocidos,"trafico de red inusual, comandos y control, ejecucion de comandos y escaneo de puertos",Perdidas de ingresos y daño a la reputacion, No esta diseñado para robar datos,Linux,"China, Estados Unidos, Canadá, Alemania, India, Brasil, Rusia, Pakistán",Desconocido,Crear botnets,Crear una botnet que pueda ser controlada de manera remota y lanzar ataques DDoS,70-100%,Segundos a minutos,Internet (credenciales predeterminadas o débiles),3
2,Phishing,Phishing,02-01-1996,Correo electrónico,"Mensajes de texto, Redes sociales, anuncios en linea, mensajeria instantanea","Enlaces acotados o distinguidos, errores ortograficos o gramaticales, sentido de urgencia, solicitudes de informacion confidencial","Perdida directa de dinero, costos de recuperacion","Informacion personal, credenciales de inicio de sesion e informacion financiera",Todos los sistemas son vulnerables,Todas las regiones,Desconocido,Engaño y Fraude,Robo de información personal y financiera,0-10%,Inmediata,Servicios de mensajería,0
3,Man-in-the-Middle,Interceptacion,23-11-2023,Red,"Redes de Wi-Fi publicas, Proxy web, Ataques ARP, Ataques DNS","Cerificados SSL invalidos, Trafico de red inusual, cambios de contenido de las paginas web","Robo de credenciales, Interceptacion de comunicaciones, alteracion de datos e infeccion de dispositivo","Informacion personal, datos corporativos confidenciales, comunicaciones privadas",Cualquiera,Global,Desconocido,Intercepta y manipula la comunicacion entre dos partes,"Robar informacion confidecial, alterar datos",0-20%,Continua,Capa de red,3
4,Ataque de fuerza bruta,Autentificacion,24-11-2023,Red,"Contraseñas, claves de cifrado, otros tipos de credenciales","Intentos de inicio de sesion fallidos, consumo excesivo de recursos, bloqueo de cuentas","Perdida de acceso, Robo de identidad, Interrupcion de los servicios","Robo de datos personales, Borrado accidental de datos",Cualquiera con credenciales,Global,Desconocido,Intenta adivinar contraseñas probando todas las combinaciones,Obtener acceso no autorizado,70-100%,Variable,Protocolo de autentificacion,2
5,Escalada de privilegios,Explotacion,25-11-2023,Sistema Operativo,"Explotacion de vulnerabilidades, Configuracion incorrecta, Ataques de contraseñas, Ataques de inyeccion","Archivos o procesos inusuales, cambios en los registros del sistema, aumento de los privilegios de usuario, comportamiento anomalo de las aplicaciones","Perdida de control de sistema, robo de datos, daño de sistema, uso del sistema para lanzar otros ataques","Robo de informacion confidencial, Exfiltracion de datos, modificacion de datos, borrado accidental de datos",Cualquier sistema operativo,Global,Desconocido,Obtener acceso a niveles de permisos mas altos,Obtener control total del sistema,50-80%,Una vez obtenido el acceso,Vulnerabilidades del sistema,3
6,Rootkit,Malware,23-11-2023,SIstema operativo,"Explotacion de vulnerabilidades, medios extraibles infectados, redes, ingenieria social","archivos ocultos, procesos inusuales, cambios en el registro del sistema, rendimiento del sistema degradado, dificultad  para instalar software de seguridad","Costos de recuperacion, perdida de productividad, daños a la reputacion","Robo de datos confidenciales, borrado de datos, corrupcion de datos",Cualquier sistema operativo,"Rusia, Estados Unidos, China y Corea del Norte",Desconocido,Oculta presencia de malware en un sistema,Mantener el acceso persistente al sistema,10-20%,Continua,Nucleo del sistema operativo,4
7,Botnet,Malware,24-11-2023,Red,"Escaneo de puertos, fuerza bruta, exploits de dia cero, kits de explotacion","Aumento del trafico de red, conexiones a servidores de comando y control, ejecucion de comandos remotos","Costos de mitigacion, perdida de ingresos por interrupcion de servicios","Robo de datos confidenciales, borrado de datos, corrupcion de datos",Cualquier dispositivo conectado a intetnet,Global,Desconocido,Red de dispositivos infectados controlados de forma remota,"Realizar ataques DDoS, enviar spam",1-100%,Continua,Cualquier servicio en red,3
8,Cryptojacker,Malware,25-11-2023,Sistema operativo,"Explotacion de vulnerabilidaes, kits de explotacion, ingenieria social","Alto uso de la CPU, lentitud dwl del sistema, aumento de la temperatura del dipositivo, generacion de monedas virtuales","Aumento a los costos de energia, disminucion del rendimiento del sistema, perdida de productividad",No directamente,Cualquier sistema operativo,Global,Coinhive,Utiliza el poder de computo del dispositivo para minar criptomonedas,Obtener ganancias financieras usando datos privados,80-100%,Continua,Procesador del dispositivo,2
9,Ataque_CEO,Ingenieria social,03-12-2023,Correo electronico,"Correo electronico, telefono, plataforma de mensajeria","Solicitudes inusuales de transferencia de fondos, cambios en los proovedores, solicitudes de informacion confidencial",Perdidas financieras por transferencia fraudulentas,"Perdida de in formacion confiudencial, secretos comerciales",Cualquier correo electronico,Global,Cibercriminales sofisticados,Suplantar la identidad de un ejecutivo de alto rango para engañar a empleados y obtener informacion confidencial,Acceso no autorizado a sistemas o datos sensibles,10-20%,Variable,Correo electronico,4
10,Malware sin archivos,Malware,04-12-2023,Memoria,"Explotacion de vulnerabilidades, kits de explotacion, memorias usb infectadas","Cambios en el comportamiento del sistema, ejecucion, de procesos inusuales, dificultas para detectar malwarees","Cosots de recuperacion, perdida de productividad","Robo de datos confidenciales, borrado de datos, corrupcion de datos","Windows, linux",Global,Grupos de hackers avanzados,"Ejecuta codigos directamente en la memoria del sistema, sin dejar archivos en el disco",Evadir la deteccion de antivirus y comprometer sistemas,Variable,Vaariable,Memoria del sistema,3
11,Ataque de replay,Integridad,05-12-2023,Red,"Interceptacion de paquetes de red, ataques de repeticion","repeticion de transacciones, acceso no autorizado a cuentas, cambios en los datos transmitidos",Perdida finaciera por transacciones fraudulentas,Robo de datos confidenciales trasnmitidos por la red,Cualquier sistema operativo,Global,Hackers individuales,Repetir comunicaciones validas para engañar a los sistemas,Obtener acceso no autorizado,1-20%,Variable,Capa de red,3
12,Ataque de inyeccion de comandos,Ejecucion de comandos ,06-12-2023,Entrada de usuario,"Formularios web, entradas de usuario, comandos de shell ","Ejecucion de comandos no autorizados, cambios en la base de datos, errores inesperados en las aplicaciones","Perdida de datos, daños a la base de datos, costos de recuperacion, posibles multas regulatorias","Datos almacenados en la base de datos, informacion del sistema de credenciales de acceso",Cualquier sistema operativo,Global,Hackers con conocimientos tecnicos,Inyectar codigo malicioso en entradas de usuario para ejecutar comandos en el servidor,obtener acceso no autorizado,Variable,Variable,Entradas de ususario,3
13,Ataque de canal lateral,obtencion de informacion,07-12-2023,Hardware,"Monitoreo de la actividad del sistema, analisis de trafico de red","Fluctuaciones inusuales en el consumo de energia, emisiones electromagneticas anomalas, tiempos de ejecucion variables","Perdida de propiedad intelectual, costos de investigacion y desarollo de nuevos sistemas de proteccion","Claves de cifrado, secretos comerciales, cualquier informacion que pueda esxtraerse de los datos del canal",Cualquier sistema operativo,Global,Grupos de hackers avanzados,Extraer informacion confidencial a traves de la medicion de caracteristicas fisicas del sistema,obtener claves de cifrado,Variable,Continua,Hardware,4
14,Rootkit de arranque,Malware,05-12-2023,firmaware,"Firmaware, BIOS","Archivos ocultos, procesos ocultos, cambios en el MBR, modificaciones en controladores del dispositivo, dificultad para instalar un software de seguridad","Cosotos de recuperacion, perdida de productividad, posibles multas regulatorias","Toda la informacion almacenada en el sistema comprometido, incluyendo datos personales, financieros, registros del sistema y cualquier otro archivo",Sistema operativo,Global,Grupos de hackers avanzados,Infecta el firmaware del sistema para obtener persistencia y control total del dispositivo,Mantener el acceso a largo plazo y evitar la deteccion,1-30%,Permanente,Firmaware del sistema,4
15,Watering hole,Ingnieria social,08-12-2023,Web,Sitios web comprometidos,"Redireccionamientos a sitios web maliciosos, descargas de archivos inesperadas, cambios en el comportamiento del navegador","Perdida de propiedad intelectual, costos de recuperacion","Credenciales de inicio de sesion, cookies de sesion, informacion personal, datos corporativos",Cualquier sistema operativo,Global,Grupos de hackers avanzados,Infectar sistios web legitimos para comprometer visitantes,infectar dispositivos  de ususarios objetivo,1-30%,Variable,Sitios web comprometidos,3
16,Ataque de supply chain,Compromiso de terceros,09-12-2023,"Software, Hardware",Cadena de suministros de hardware y software,"Software con puertas traseras, componentes de hardware comporometidos, cambios en el comportamiento del sistema","Perdidas financieras significativas, costos legales","Propiedad intelectal, datos de clientes, informacion confidencial de la empresa",Cualquier sistema operativo,Global,Grupos de hackers patrocinados,Comprometer el software o el hardware del proveedor para infectar a sus clientes,Distribuir malware a gran escala,Variable,Prolongada,Cadena de suministros de software,4
17,Ataque de sim swapping,Suplantacion de identidad,10-12-2023,Redes moviles,Proveedores de servicios moviles,"Perdida de acceso al numero de telefono, transacciones fraudulentas, llamadas no reconocidas","Perdida financiera por transacciones fraudulentas, costos de recuperacion de cuentas","Acceso a cuentas de correo electronico, redes sociales, banca en linea, y cualquier otra cuenta",Dispositivos moviles,Global,cibercriminales individuales o grupos,Transferir el numero de telefono de una victima a un dispositivo  controlado por el atacante,obemer acceso a cuentas en linea y cometer fraude,1-25%,Variable,Proveedor de servicios moviles,3
18,Ransoware de doble extorsion,Ransomware,06-12-2023,Red,"Red, archivos locales","Cifrado de archivos, mensajes de rescate, publicacion de datos robados","Costos de rescate, perdidas de datos, costos legales","Todos los datos cifrados, ademas de datos adicionales que pueden ser filtrados publicamente sino se paga el rescate",Cualquier sistema operativo,Global,"Grupos de ransomware como LockBit, REvil",Cifra los archivos de la victuma y amenaza con publicarlos si no se paga el rescate,"Obtener ganancias financieras, dañar la reputacion de la victima",80-100%,Variable,Red de archivos locales,4
19,Adware,Malware,11-12-2023,Software y sitios web,"Anuncios en linea, descarga de software, paquetes de software","Publicidad no deseada, disminucion del rendimiento del sistema, redireccionamientos a sistios web maliciosos","Perdida de productividad, costos de eliminacion","No causa una perdida directa de datos, pero puede recopilar in formacion sobre los habitos de navegacion del ususario y venderla a terceros",Cualquier sistema operativo,Global,"Creadores de malware, redes publicitarias ilegales",Mostrar anuncios no solicitados en el dispositivo del usuario,Generar ingresos a traves de clics en anuncios,1-15%,Continua,Navegador web y aplicaciones,1
20,Chipgate,Compromisos de terceros,18-12-2023,Hardware,Hardware comprometido,"Comportamiento inusual del dispositivo, rendimiento degradado, deteccion de componentes no autorizados","Costos de reemplazo de harware, perdida de confianza con los proveedores, espionaje industrial","Cualquier dato almacenado en el dispositivo comprometido, incluyendo informacion personal, corporativa y gubernamental",Cualquier sistema operativo,Global,Estados-nacion y grupos de hackers avanzados,Inyectar puertas traseras en chips durante el proceso de fabricacion,"espionaje industrial, sabotaje y control a largo plazo de sistemas criticos",1-100%,Persistente,Cadena de suministros de hardware,4
21,Ransomware industrial,Extorsion,20-12-2023,Redes industriales y redes SCADA,Sistemas de control industrial(SCADA),"Disrupcion en los procesos industriales, cambios en los registros de eventos, cifrado de archivos en sistemas industriales, Presencia de malware en dispositivos industriales","Disrupcion de procesos industriales, parada de produccion, daños a los equipos","Datos de produccion, registros de mantenimiento, planos de diseño de informacion confidencial de la empresa","Sistemas de control insdutrial(SCADA), ICS",Global,Grupos de ransomware especializados,Cifrar datos de un sistema industrial y exigir un rescate para restaurar el acceso,"Causar interrupciones en servicios esenciales(energia, agua, transporte)",75-100%,Variable,Redes industriales,4
22,Deepfake,Ingenieria social,21-12-2023,Redes sociales,"Redes sociales, plataformas de video, sitios web","Incoherencia en los movimientos faciales, problemas de iluminacion, falta de sincronizacion entre audio y video","Videos o audios falsos, difamacion, manipulacion de la opinion publica","Reputacion de individuos y organizaciones, confianza en la informacion, resultado de elecciones, seguridad nacional","Redes sociales, aplicaciones de mensajeria",Global,"Individuos, grupos, estados-nacion","Crear contenido falso, como videos o audios, para engañar a las personas","Difundir desinformacion, manipula la opinion publica, cometer fraude",70-100%,Variable,"Redes sociales, aplicaciones de mensajeria",3
23,Watering hole para la industria farmaceutica,ingenieria social,22-12-2023,Paginas web de la insutria farmaceutica,Sitios web de la industria farmaceutica,"Infecciones dirigidas a investigadores, robos de propiedad intelectual","Perdida de propiedad intelectual, ventajas competitivas","Formulas farmaceuticas, datos de investigacion, informacion de pacientes, secretos comerciales",Sitios web de la industria,Global,Grupos de espionaje insutrial ,Infectar sitios web utilizados por la industria farmaceutica para robar propiedad intelectual,"Robo de secretos comerciales, ventaja competitiva",10-20%,Variable,Sitios web de la industria farmaceutica,4
